date,fiscal_year,month,dist_code,district,vehicle_sales,registrations,permits,companies,jobs,investment,documents_registered,revenue,estamp_challans,date_id,quarter
2019-01-01,2019,1,1,Hyderabad,7357,3061,2629,239,1380,79620864,12144,6171054,12368,1,Q1
2019-02-01,2019,2,1,Hyderabad,7946,2041,2764,286,1331,12517790,39709,1693146,20493,2,Q1
2019-03-01,2019,3,1,Hyderabad,13307,1853,1819,205,967,20198258,20926,2845123,19332,3,Q1
2019-04-01,2019,4,1,Hyderabad,9948,2206,541,216,571,20294600,41680,1794068,20027,4,Q2
2019-05-01,2019,5,1,Hyderabad,6348,2131,2859,59,438,11069704,34098,6321619,21342,5,Q2
2019-06-01,2019,6,1,Hyderabad,8885,1313,1342,171,944,59693125,31219,5730059,16799,6,Q2
2019-07-01,2019,7,1,Hyderabad,5642,2358,593,185,1209,30051602,19384,6275839,20152,7,Q3
2019-08-01,2019,8,1,Hyderabad,5348,1774,2681,228,1847,46000245,19909,4475933,12399,8,Q3
2019-09-01,2019,9,1,Hyderabad,6697,2809,1187,157,1459,10315877,40144,7994959,19332,9,Q3
2019-10-01,2019,10,1,Hyderabad,6747,3140,1589,73,1701,12579765,34658,2481916,12742,10,Q4
2019-11-01,2019,11,1,Hyderabad,12573,2820,1320,221,1180,17641607,41778,6767162,24870,11,Q4
2019-12-01,2019,12,1,Hyderabad,14597,1447,1045,211,849,97278337,29151,8838495,11024,12,Q4
2020-01-01,2020,1,1,Hyderabad,10802,2799,997,196,1144,46005994,31718,3454272,7501,13,Q1
2020-02-01,2020,2,1,Hyderabad,7044,2080,1472,147,262,21989213,49050,4951078,12013,14,Q1
2020-03-01,2020,3,1,Hyderabad,7047,3005,1571,59,1746,55065845,34507,9494514,19707,15,Q1
2020-04-01,2020,4,1,Hyderabad,12307,2747,2607,272,716,26304419,29116,7318511,13876,16,Q2
2020-05-01,2020,5,1,Hyderabad,5130,3915,1812,181,1386,51925526,49483,4483932,17080,17,Q2
2020-06-01,2020,6,1,Hyderabad,5170,2880,2885,292,154,88783447,13458,3206994,21040,18,Q2
2020-07-01,2020,7,1,Hyderabad,12453,1287,2393,165,315,23175696,24679,8581425,19180,19,Q3
2020-08-01,2020,8,1,Hyderabad,10295,3775,2349,59,1809,7848305,18834,4291720,7269,20,Q3
2020-09-01,2020,9,1,Hyderabad,11301,2733,571,224,1729,31257202,30185,8226926,9365,21,Q3
2020-10-01,2020,10,1,Hyderabad,6460,3251,2440,71,1250,80561602,23263,6739280,24652,22,Q4
2020-11-01,2020,11,1,Hyderabad,8890,4772,1704,98,1991,96353354,47166,9482206,17318,23,Q4
2020-12-01,2020,12,1,Hyderabad,14335,2846,2234,155,1604,36659966,25710,6724516,22556,24,Q4
2021-01-01,2021,1,1,Hyderabad,14630,1316,2357,250,380,15461618,43988,3376728,19684,25,Q1
2021-02-01,2021,2,1,Hyderabad,10990,2311,1303,86,1595,66698651,24893,9910959,14240,26,Q1
2021-03-01,2021,3,1,Hyderabad,5499,4244,1370,237,1175,2050437,48299,5854398,15440,27,Q1
2021-04-01,2021,4,1,Hyderabad,9183,4334,1697,138,870,52006533,32362,7353270,14568,28,Q2
2021-05-01,2021,5,1,Hyderabad,13937,1553,1130,177,1047,8508625,43660,2605508,20738,29,Q2
2021-06-01,2021,6,1,Hyderabad,6085,3329,532,262,1773,44182957,13471,4240769,14059,30,Q2
2021-07-01,2021,7,1,Hyderabad,11848,3156,800,250,1855,93498263,16421,6002926,19956,31,Q3
2021-08-01,2021,8,1,Hyderabad,13473,3813,2489,215,934,47790053,43546,2767053,14232,32,Q3
2021-09-01,2021,9,1,Hyderabad,6339,2757,1974,101,1121,14401563,14684,4592241,21731,33,Q3
2021-10-01,2021,10,1,Hyderabad,7715,4317,1622,271,125,77605653,25256,4554940,15556,34,Q4
2021-11-01,2021,11,1,Hyderabad,8123,1667,2577,259,856,85426633,15715,2691615,11224,35,Q4
2021-12-01,2021,12,1,Hyderabad,8128,1182,769,219,366,64487272,26514,4157539,20765,36,Q4
2022-01-01,2022,1,1,Hyderabad,12335,1415,977,262,1772,52462609,12387,5600223,18135,37,Q1
2022-02-01,2022,2,1,Hyderabad,9179,3983,2621,97,1652,53735811,47336,9880084,9873,38,Q1
2022-03-01,2022,3,1,Hyderabad,14549,2050,817,104,915,91923468,25279,8776538,24409,39,Q1
2022-04-01,2022,4,1,Hyderabad,6522,3641,2570,237,1130,18306849,19072,5768102,15455,40,Q2
2022-05-01,2022,5,1,Hyderabad,11245,3977,2942,218,135,13902977,23046,4431832,10225,41,Q2
2022-06-01,2022,6,1,Hyderabad,14302,2075,2843,295,1284,29641701,11008,1540018,6860,42,Q2
2022-07-01,2022,7,1,Hyderabad,11075,2038,2078,176,709,79133654,46269,9878005,8774,43,Q3
2022-08-01,2022,8,1,Hyderabad,9100,3676,1477,184,1814,89739840,37159,8301444,19813,44,Q3
