dist_code,district
D01,District_1
D02,District_2
D03,District_3
D04,District_4
D05,District_5
D06,District_6
D07,District_7
D08,District_8
D09,District_9
D10,District_10
D11,District_11
D12,District_12
D13,District_13
D14,District_14
D15,District_15
D16,District_16
D17,District_17
D18,District_18
D19,District_19
D20,District_20
D21,District_21
D22,District_22
D23,District_23
D24,District_24
D25,District_25
D26,District_26
D27,District_27
D28,District_28
D29,District_29
D30,District_30
D31,District_31
D32,District_32
D33,District_33
