dist_code,month,sector,investment in cr
D01,2019-04-01,Manufacturing,190.6
D01,2019-05-01,IT,190.6
D01,2019-06-01,Pharma,190.6
D01,2019-07-01,Pharma,190.6
D01,2019-08-01,Food,190.6
D01,2019-09-01,Pharma,190.6
D01,2019-10-01,Manufacturing,190.6
D01,2019-11-01,Pharma,190.6
D01,2019-12-01,Food,190.6
D01,2020-01-01,Textiles,190.6
D01,2020-02-01,Food,190.6
D01,2020-03-01,Manufacturing,190.6
D01,2020-04-01,Food,190.6
D01,2020-05-01,Pharma,190.6
D01,2020-06-01,Textiles,190.6
D01,2020-07-01,IT,190.6
D01,2020-08-01,Pharma,190.6
D01,2020-09-01,Food,190.6
D01,2020-10-01,Manufacturing,190.6
D01,2020-11-01,Pharma,190.6
D01,2020-12-01,Pharma,190.6
D01,2021-01-01,Textiles,190.6
D01,2021-02-01,Pharma,190.6
D01,2021-03-01,Pharma,190.6
D01,2021-04-01,Manufacturing,190.6
D01,2021-05-01,Textiles,190.6
D01,2021-06-01,Manufacturing,190.6
D01,2021-07-01,Pharma,190.6
D01,2021-08-01,Textiles,190.6
D01,2021-09-01,Food,190.6
D01,2021-10-01,Manufacturing,190.6
D01,2021-11-01,Manufacturing,190.6
D01,2021-12-01,Textiles,190.6
D01,2022-01-01,Food,190.6
D01,2022-02-01,IT,190.6
D01,2022-03-01,Textiles,190.6
D01,2022-04-01,IT,190.6
D01,2022-05-01,Textiles,190.6
D01,2022-06-01,Manufacturing,190.6
D01,2022-07-01,Textiles,190.6
D01,2022-08-01,Pharma,190.6
D01,2022-09-01,Pharma,190.6
D01,2022-10-01,Textiles,190.6
D01,2022-11-01,Textiles,190.6
D01,2022-12-01,Manufacturing,190.6
D01,2023-01-01,Manufacturing,190.6
D01,2023-02-01,Textiles,190.6
D01,2023-03-01,Food,190.6
D02,2019-04-01,Pharma,197.7
D02,2019-05-01,Manufacturing,197.7
D02,2019-06-01,Pharma,197.7
D02,2019-07-01,Pharma,197.7
D02,2019-08-01,Pharma,197.7
D02,2019-09-01,Manufacturing,197.7
D02,2019-10-01,Textiles,197.7
D02,2019-11-01,Textiles,197.7
D02,2019-12-01,Pharma,197.7
D02,2020-01-01,Textiles,197.7
D02,2020-02-01,Food,197.7
D02,2020-03-01,Textiles,197.7
D02,2020-04-01,Textiles,197.7
D02,2020-05-01,Food,197.7
D02,2020-06-01,Manufacturing,197.7
D02,2020-07-01,Manufacturing,197.7
D02,2020-08-01,Manufacturing,197.7
D02,2020-09-01,IT,197.7
D02,2020-10-01,Pharma,197.7
D02,2020-11-01,IT,197.7
D02,2020-12-01,IT,197.7
D02,2021-01-01,Food,197.7
D02,2021-02-01,Food,197.7
D02,2021-03-01,Manufacturing,197.7
D02,2021-04-01,Manufacturing,197.7
D02,2021-05-01,Pharma,197.7
D02,2021-06-01,Pharma,197.7
D02,2021-07-01,Food,197.7
D02,2021-08-01,Pharma,197.7
D02,2021-09-01,Textiles,197.7
D02,2021-10-01,Food,197.7
D02,2021-11-01,IT,197.7
D02,2021-12-01,Pharma,197.7
D02,2022-01-01,Manufacturing,197.7
D02,2022-02-01,Food,197.7
D02,2022-03-01,Manufacturing,197.7
D02,2022-04-01,IT,197.7
D02,2022-05-01,IT,197.7
D02,2022-06-01,IT,197.7
D02,2022-07-01,Food,197.7
D02,2022-08-01,Pharma,197.7
D02,2022-09-01,IT,197.7
D02,2022-10-01,Textiles,197.7
D02,2022-11-01,Pharma,197.7
D02,2022-12-01,Textiles,197.7
D02,2023-01-01,IT,197.7
D02,2023-02-01,Textiles,197.7
D02,2023-03-01,Textiles,197.7
D03,2019-04-01,Textiles,168.3
D03,2019-05-01,Textiles,168.3
D03,2019-06-01,Pharma,168.3
D03,2019-07-01,Manufacturing,168.3
D03,2019-08-01,Manufacturing,168.3
D03,2019-09-01,Manufacturing,168.3
D03,2019-10-01,Manufacturing,168.3
D03,2019-11-01,Textiles,168.3
D03,2019-12-01,Textiles,168.3
D03,2020-01-01,Pharma,168.3
D03,2020-02-01,Pharma,168.3
D03,2020-03-01,Pharma,168.3
D03,2020-04-01,IT,168.3
D03,2020-05-01,Food,168.3
D03,2020-06-01,Textiles,168.3
D03,2020-07-01,Textiles,168.3
D03,2020-08-01,Textiles,168.3
D03,2020-09-01,Pharma,168.3
D03,2020-10-01,Food,168.3
D03,2020-11-01,Manufacturing,168.3
D03,2020-12-01,IT,168.3
D03,2021-01-01,Manufacturing,168.3
D03,2021-02-01,Food,168.3
D03,2021-03-01,Textiles,168.3
D03,2021-04-01,IT,168.3
D03,2021-05-01,Pharma,168.3
D03,2021-06-01,Manufacturing,168.3
D03,2021-07-01,Textiles,168.3
D03,2021-08-01,Textiles,168.3
D03,2021-09-01,Food,168.3
D03,2021-10-01,Pharma,168.3
D03,2021-11-01,Manufacturing,168.3
D03,2021-12-01,Pharma,168.3
D03,2022-01-01,Pharma,168.3
D03,2022-02-01,Food,168.3
D03,2022-03-01,Food,168.3
D03,2022-04-01,IT,168.3
D03,2022-05-01,Manufacturing,168.3
D03,2022-06-01,Pharma,168.3
D03,2022-07-01,Manufacturing,168.3
D03,2022-08-01,Food,168.3
D03,2022-09-01,Manufacturing,168.3
D03,2022-10-01,Manufacturing,168.3
D03,2022-11-01,Manufacturing,168.3
D03,2022-12-01,IT,168.3
D03,2023-01-01,Pharma,168.3
D03,2023-02-01,Food,168.3
D03,2023-03-01,Food,168.3
D04,2019-04-01,IT,172.9
D04,2019-05-01,Food,172.9
D04,2019-06-01,Food,172.9
D04,2019-07-01,Textiles,172.9
D04,2019-08-01,Textiles,172.9
D04,2019-09-01,Manufacturing,172.9
D04,2019-10-01,Food,172.9
D04,2019-11-01,IT,172.9
D04,2019-12-01,Food,172.9
D04,2020-01-01,Pharma,172.9
D04,2020-02-01,Manufacturing,172.9
D04,2020-03-01,IT,172.9
D04,2020-04-01,Food,172.9
D04,2020-05-01,IT,172.9
D04,2020-06-01,Pharma,172.9
D04,2020-07-01,IT,172.9
D04,2020-08-01,Manufacturing,172.9
D04,2020-09-01,Food,172.9
D04,2020-10-01,Food,172.9
D04,2020-11-01,Textiles,172.9
D04,2020-12-01,Textiles,172.9
D04,2021-01-01,Pharma,172.9
D04,2021-02-01,Food,172.9
D04,2021-03-01,Pharma,172.9
D04,2021-04-01,IT,172.9
D04,2021-05-01,Textiles,172.9
D04,2021-06-01,IT,172.9
D04,2021-07-01,Pharma,172.9
D04,2021-08-01,Textiles,172.9
D04,2021-09-01,IT,172.9
