dist_code,month,documents_registered_rev,estamps_challans_rev,documents_registered_cnt,estamps_challans_cnt
D01,2019-04-01,190600,114360,3812,1906
D01,2019-05-01,190600,114360,3812,1906
D01,2019-06-01,190600,114360,3812,1906
D01,2019-07-01,190600,114360,3812,1906
D01,2019-08-01,190600,114360,3812,1906
D01,2019-09-01,190600,114360,3812,1906
D01,2019-10-01,190600,114360,3812,1906
D01,2019-11-01,190600,114360,3812,1906
D01,2019-12-01,190600,114360,3812,1906
D01,2020-01-01,190600,114360,3812,1906
D01,2020-02-01,190600,114360,3812,1906
D01,2020-03-01,190600,114360,3812,1906
D01,2020-04-01,190600,114360,3812,1906
D01,2020-05-01,190600,114360,3812,1906
D01,2020-06-01,190600,114360,3812,1906
D01,2020-07-01,190600,114360,3812,1906
D01,2020-08-01,190600,114360,3812,1906
D01,2020-09-01,190600,114360,3812,1906
D01,2020-10-01,190600,114360,3812,1906
D01,2020-11-01,190600,114360,3812,1906
D01,2020-12-01,190600,114360,3812,1906
D01,2021-01-01,190600,114360,3812,1906
D01,2021-02-01,190600,114360,3812,1906
D01,2021-03-01,190600,114360,3812,1906
D01,2021-04-01,190600,114360,3812,1906
D01,2021-05-01,190600,114360,3812,1906
D01,2021-06-01,190600,114360,3812,1906
D01,2021-07-01,190600,114360,3812,1906
D01,2021-08-01,190600,114360,3812,1906
D01,2021-09-01,190600,114360,3812,1906
D01,2021-10-01,190600,114360,3812,1906
D01,2021-11-01,190600,114360,3812,1906
D01,2021-12-01,190600,114360,3812,1906
D01,2022-01-01,190600,114360,3812,1906
D01,2022-02-01,190600,114360,3812,1906
D01,2022-03-01,190600,114360,3812,1906
D01,2022-04-01,190600,114360,3812,1906
D01,2022-05-01,190600,114360,3812,1906
D01,2022-06-01,190600,114360,3812,1906
D01,2022-07-01,190600,114360,3812,1906
D01,2022-08-01,190600,114360,3812,1906
D01,2022-09-01,190600,114360,3812,1906
D01,2022-10-01,190600,114360,3812,1906
D01,2022-11-01,190600,114360,3812,1906
D01,2022-12-01,190600,114360,3812,1906
D01,2023-01-01,190600,114360,3812,1906
D01,2023-02-01,190600,114360,3812,1906
D01,2023-03-01,190600,114360,3812,1906
D02,2019-04-01,197700,118620,3954,1977
D02,2019-05-01,197700,118620,3954,1977
D02,2019-06-01,197700,118620,3954,1977
D02,2019-07-01,197700,118620,3954,1977
D02,2019-08-01,197700,118620,3954,1977
D02,2019-09-01,197700,118620,3954,1977
D02,2019-10-01,197700,118620,3954,1977
D02,2019-11-01,197700,118620,3954,1977
D02,2019-12-01,197700,118620,3954,1977
D02,2020-01-01,197700,118620,3954,1977
D02,2020-02-01,197700,118620,3954,1977
D02,2020-03-01,197700,118620,3954,1977
D02,2020-04-01,197700,118620,3954,1977
D02,2020-05-01,197700,118620,3954,1977
D02,2020-06-01,197700,118620,3954,1977
D02,2020-07-01,197700,118620,3954,1977
D02,2020-08-01,197700,118620,3954,1977
D02,2020-09-01,197700,118620,3954,1977
D02,2020-10-01,197700,118620,3954,1977
D02,2020-11-01,197700,118620,3954,1977
D02,2020-12-01,197700,118620,3954,1977
D02,2021-01-01,197700,118620,3954,1977
D02,2021-02-01,197700,118620,3954,1977
D02,2021-03-01,197700,118620,3954,1977
D02,2021-04-01,197700,118620,3954,1977
D02,2021-05-01,197700,118620,3954,1977
D02,2021-06-01,197700,118620,3954,1977
D02,2021-07-01,197700,118620,3954,1977
D02,2021-08-01,197700,118620,3954,1977
D02,2021-09-01,197700,118620,3954,1977
D02,2021-10-01,197700,118620,3954,1977
D02,2021-11-01,197700,118620,3954,1977
D02,2021-12-01,197700,118620,3954,1977
D02,2022-01-01,197700,118620,3954,1977
D02,2022-02-01,197700,118620,3954,1977
D02,2022-03-01,197700,118620,3954,1977
D02,2022-04-01,197700,118620,3954,1977
D02,2022-05-01,197700,118620,3954,1977
D02,2022-06-01,197700,118620,3954,1977
D02,2022-07-01,197700,118620,3954,1977
D02,2022-08-01,197700,118620,3954,1977
D02,2022-09-01,197700,118620,3954,1977
D02,2022-10-01,197700,118620,3954,1977
D02,2022-11-01,197700,118620,3954,1977
D02,2022-12-01,197700,118620,3954,1977
D02,2023-01-01,197700,118620,3954,1977
D02,2023-02-01,197700,118620,3954,1977
D02,2023-03-01,197700,118620,3954,1977
D03,2019-04-01,168300,100980,3366,1683
D03,2019-05-01,168300,100980,3366,1683
D03,2019-06-01,168300,100980,3366,1683
D03,2019-07-01,168300,100980,3366,1683
