date_id,date,fiscal_year,month,quarter
1,2019-01-01,2019,1,Q1
2,2019-02-01,2019,2,Q1
3,2019-03-01,2019,3,Q1
4,2019-04-01,2019,4,Q2
5,2019-05-01,2019,5,Q2
6,2019-06-01,2019,6,Q2
7,2019-07-01,2019,7,Q3
8,2019-08-01,2019,8,Q3
9,2019-09-01,2019,9,Q3
10,2019-10-01,2019,10,Q4
11,2019-11-01,2019,11,Q4
12,2019-12-01,2019,12,Q4
13,2020-01-01,2020,1,Q1
14,2020-02-01,2020,2,Q1
15,2020-03-01,2020,3,Q1
16,2020-04-01,2020,4,Q2
17,2020-05-01,2020,5,Q2
18,2020-06-01,2020,6,Q2
19,2020-07-01,2020,7,Q3
20,2020-08-01,2020,8,Q3
21,2020-09-01,2020,9,Q3
22,2020-10-01,2020,10,Q4
23,2020-11-01,2020,11,Q4
24,2020-12-01,2020,12,Q4
25,2021-01-01,2021,1,Q1
26,2021-02-01,2021,2,Q1
27,2021-03-01,2021,3,Q1
28,2021-04-01,2021,4,Q2
29,2021-05-01,2021,5,Q2
30,2021-06-01,2021,6,Q2
31,2021-07-01,2021,7,Q3
32,2021-08-01,2021,8,Q3
33,2021-09-01,2021,9,Q3
34,2021-10-01,2021,10,Q4
35,2021-11-01,2021,11,Q4
36,2021-12-01,2021,12,Q4
37,2022-01-01,2022,1,Q1
38,2022-02-01,2022,2,Q1
39,2022-03-01,2022,3,Q1
40,2022-04-01,2022,4,Q2
41,2022-05-01,2022,5,Q2
42,2022-06-01,2022,6,Q2
43,2022-07-01,2022,7,Q3
44,2022-08-01,2022,8,Q3
45,2022-09-01,2022,9,Q3
46,2022-10-01,2022,10,Q4
47,2022-11-01,2022,11,Q4
48,2022-12-01,2022,12,Q4
49,2023-01-01,2023,1,Q1
50,2023-02-01,2023,2,Q1
51,2023-03-01,2023,3,Q1
52,2023-04-01,2023,4,Q2
53,2023-05-01,2023,5,Q2
54,2023-06-01,2023,6,Q2
55,2023-07-01,2023,7,Q3
56,2023-08-01,2023,8,Q3
57,2023-09-01,2023,9,Q3
58,2023-10-01,2023,10,Q4
59,2023-11-01,2023,11,Q4
60,2023-12-01,2023,12,Q4
