date,fiscal_year,month,dist_code,district,companies,jobs,investment
2019-01-01,2019,1,1,Hyderabad,239,1380,79620864
2019-02-01,2019,2,1,Hyderabad,286,1331,12517790
2019-03-01,2019,3,1,Hyderabad,205,967,20198258
2019-04-01,2019,4,1,Hyderabad,216,571,20294600
2019-05-01,2019,5,1,Hyderabad,59,438,11069704
2019-06-01,2019,6,1,Hyderabad,171,944,59693125
2019-07-01,2019,7,1,Hyderabad,185,1209,30051602
2019-08-01,2019,8,1,Hyderabad,228,1847,46000245
2019-09-01,2019,9,1,Hyderabad,157,1459,10315877
2019-10-01,2019,10,1,Hyderabad,73,1701,12579765
2019-11-01,2019,11,1,Hyderabad,221,1180,17641607
2019-12-01,2019,12,1,Hyderabad,211,849,97278337
2020-01-01,2020,1,1,Hyderabad,196,1144,46005994
2020-02-01,2020,2,1,Hyderabad,147,262,21989213
2020-03-01,2020,3,1,Hyderabad,59,1746,55065845
2020-04-01,2020,4,1,Hyderabad,272,716,26304419
2020-05-01,2020,5,1,Hyderabad,181,1386,51925526
2020-06-01,2020,6,1,Hyderabad,292,154,88783447
2020-07-01,2020,7,1,Hyderabad,165,315,23175696
2020-08-01,2020,8,1,Hyderabad,59,1809,7848305
2020-09-01,2020,9,1,Hyderabad,224,1729,31257202
2020-10-01,2020,10,1,Hyderabad,71,1250,80561602
2020-11-01,2020,11,1,Hyderabad,98,1991,96353354
2020-12-01,2020,12,1,Hyderabad,155,1604,36659966
2021-01-01,2021,1,1,Hyderabad,250,380,15461618
2021-02-01,2021,2,1,Hyderabad,86,1595,66698651
2021-03-01,2021,3,1,Hyderabad,237,1175,2050437
2021-04-01,2021,4,1,Hyderabad,138,870,52006533
2021-05-01,2021,5,1,Hyderabad,177,1047,8508625
2021-06-01,2021,6,1,Hyderabad,262,1773,44182957
2021-07-01,2021,7,1,Hyderabad,250,1855,93498263
2021-08-01,2021,8,1,Hyderabad,215,934,47790053
2021-09-01,2021,9,1,Hyderabad,101,1121,14401563
2021-10-01,2021,10,1,Hyderabad,271,125,77605653
2021-11-01,2021,11,1,Hyderabad,259,856,85426633
2021-12-01,2021,12,1,Hyderabad,219,366,64487272
2022-01-01,2022,1,1,Hyderabad,262,1772,52462609
2022-02-01,2022,2,1,Hyderabad,97,1652,53735811
2022-03-01,2022,3,1,Hyderabad,104,915,91923468
2022-04-01,2022,4,1,Hyderabad,237,1130,18306849
2022-05-01,2022,5,1,Hyderabad,218,135,13902977
2022-06-01,2022,6,1,Hyderabad,295,1284,29641701
2022-07-01,2022,7,1,Hyderabad,176,709,79133654
2022-08-01,2022,8,1,Hyderabad,184,1814,89739840
2022-09-01,2022,9,1,Hyderabad,204,796,25985145
2022-10-01,2022,10,1,Hyderabad,241,950,97770417
2022-11-01,2022,11,1,Hyderabad,215,113,87691384
2022-12-01,2022,12,1,Hyderabad,246,1959,94039942
2023-01-01,2023,1,1,Hyderabad,254,1990,41679605
2023-02-01,2023,2,1,Hyderabad,220,474,97717300
2023-03-01,2023,3,1,Hyderabad,294,1417,16481694
2023-04-01,2023,4,1,Hyderabad,130,488,48760361
2023-05-01,2023,5,1,Hyderabad,90,402,79623274
2023-06-01,2023,6,1,Hyderabad,94,637,46016907
2023-07-01,2023,7,1,Hyderabad,298,846,12344237
2023-08-01,2023,8,1,Hyderabad,116,1549,10243058
2023-09-01,2023,9,1,Hyderabad,117,1597,20777749
2023-10-01,2023,10,1,Hyderabad,291,1380,91927981
2023-11-01,2023,11,1,Hyderabad,199,126,3683553
2023-12-01,2023,12,1,Hyderabad,54,714,11928030
2019-01-01,2019,1,2,Warangal,180,925,19157609
2019-02-01,2019,2,2,Warangal,131,1839,71234812
2019-03-01,2019,3,2,Warangal,146,1584,15689503
2019-04-01,2019,4,2,Warangal,133,145,15924994
2019-05-01,2019,5,2,Warangal,233,1192,52541592
2019-06-01,2019,6,2,Warangal,130,1652,89909316
2019-07-01,2019,7,2,Warangal,284,1924,17595799
2019-08-01,2019,8,2,Warangal,52,401,54336213
2019-09-01,2019,9,2,Warangal,76,301,67431465
2019-10-01,2019,10,2,Warangal,178,1399,78602048
2019-11-01,2019,11,2,Warangal,90,545,30826152
2019-12-01,2019,12,2,Warangal,60,650,57964975
2020-01-01,2020,1,2,Warangal,118,834,27413778
2020-02-01,2020,2,2,Warangal,234,1053,71905537
2020-03-01,2020,3,2,Warangal,245,1393,21067258
2020-04-01,2020,4,2,Warangal,69,177,93192118
2020-05-01,2020,5,2,Warangal,84,948,44152891
2020-06-01,2020,6,2,Warangal,59,1958,45235589
2020-07-01,2020,7,2,Warangal,109,1993,10145750
2020-08-01,2020,8,2,Warangal,218,587,65750523
2020-09-01,2020,9,2,Warangal,197,1911,70018502
2020-10-01,2020,10,2,Warangal,256,698,37243876
2020-11-01,2020,11,2,Warangal,121,1798,46049734
2020-12-01,2020,12,2,Warangal,203,331,8950649
2021-01-01,2021,1,2,Warangal,56,479,69722161
2021-02-01,2021,2,2,Warangal,236,1858,32866839
2021-03-01,2021,3,2,Warangal,128,549,34993667
2021-04-01,2021,4,2,Warangal,207,580,53390854
2021-05-01,2021,5,2,Warangal,133,1066,56017540
2021-06-01,2021,6,2,Warangal,58,759,30067054
2021-07-01,2021,7,2,Warangal,110,1018,88560621
2021-08-01,2021,8,2,Warangal,235,869,61662351
2021-09-01,2021,9,2,Warangal,149,1871,4215075
2021-10-01,2021,10,2,Warangal,201,1732,8235880
2021-11-01,2021,11,2,Warangal,270,1743,62787587
2021-12-01,2021,12,2,Warangal,266,1873,79438883
2022-01-01,2022,1,2,Warangal,295,160,27367618
2022-02-01,2022,2,2,Warangal,142,1374,28743978
2022-03-01,2022,3,2,Warangal,297,182,30557386
2022-04-01,2022,4,2,Warangal,160,484,3045315
2022-05-01,2022,5,2,Warangal,234,309,42537502
2022-06-01,2022,6,2,Warangal,191,1857,76182382
2022-07-01,2022,7,2,Warangal,281,328,89071586
2022-08-01,2022,8,2,Warangal,177,1227,7310846
2022-09-01,2022,9,2,Warangal,268,1131,76267965
2022-10-01,2022,10,2,Warangal,76,1725,59323187
2022-11-01,2022,11,2,Warangal,85,1900,7352958
2022-12-01,2022,12,2,Warangal,67,358,77062845
2023-01-01,2023,1,2,Warangal,142,1368,76781163
2023-02-01,2023,2,2,Warangal,98,1540,62078167
2023-03-01,2023,3,2,Warangal,194,1890,14723157
2023-04-01,2023,4,2,Warangal,279,1042,48443073
2023-05-01,2023,5,2,Warangal,232,640,18147984
2023-06-01,2023,6,2,Warangal,54,650,19734847
2023-07-01,2023,7,2,Warangal,104,1365,65869928
2023-08-01,2023,8,2,Warangal,263,389,43217990
2023-09-01,2023,9,2,Warangal,52,1060,94830258
2023-10-01,2023,10,2,Warangal,163,1946,77977083
2023-11-01,2023,11,2,Warangal,300,553,39808751
2023-12-01,2023,12,2,Warangal,299,922,50591625
2019-01-01,2019,1,3,Karimnagar,273,1605,82528502
2019-02-01,2019,2,3,Karimnagar,120,1227,79434302
2019-03-01,2019,3,3,Karimnagar,277,1587,43192053
2019-04-01,2019,4,3,Karimnagar,198,1974,86907246
2019-05-01,2019,5,3,Karimnagar,67,186,29675492
2019-06-01,2019,6,3,Karimnagar,102,1977,64776599
2019-07-01,2019,7,3,Karimnagar,269,1681,56521696
2019-08-01,2019,8,3,Karimnagar,229,709,82631243
2019-09-01,2019,9,3,Karimnagar,206,657,27443721
2019-10-01,2019,10,3,Karimnagar,115,998,71183917
2019-11-01,2019,11,3,Karimnagar,254,935,83194197
2019-12-01,2019,12,3,Karimnagar,136,1861,43799759
2020-01-01,2020,1,3,Karimnagar,61,1962,43916351
2020-02-01,2020,2,3,Karimnagar,180,1687,89323804
2020-03-01,2020,3,3,Karimnagar,256,352,41956608
2020-04-01,2020,4,3,Karimnagar,113,1677,56390886
2020-05-01,2020,5,3,Karimnagar,122,175,31334139
2020-06-01,2020,6,3,Karimnagar,147,569,86887155
2020-07-01,2020,7,3,Karimnagar,99,288,10159269
2020-08-01,2020,8,3,Karimnagar,232,835,45992752
2020-09-01,2020,9,3,Karimnagar,166,1523,57482691
2020-10-01,2020,10,3,Karimnagar,89,186,58225841
2020-11-01,2020,11,3,Karimnagar,79,1646,60483645
2020-12-01,2020,12,3,Karimnagar,255,1868,54452793
2021-01-01,2021,1,3,Karimnagar,114,1081,12558477
2021-02-01,2021,2,3,Karimnagar,279,1266,76849655
2021-03-01,2021,3,3,Karimnagar,229,245,70590745
2021-04-01,2021,4,3,Karimnagar,214,1307,14365697
2021-05-01,2021,5,3,Karimnagar,85,1677,79307750
2021-06-01,2021,6,3,Karimnagar,88,549,34033132
2021-07-01,2021,7,3,Karimnagar,186,1974,28759648
2021-08-01,2021,8,3,Karimnagar,296,765,56488570
2021-09-01,2021,9,3,Karimnagar,142,366,65862746
2021-10-01,2021,10,3,Karimnagar,236,921,70835192
2021-11-01,2021,11,3,Karimnagar,208,1786,66793964
2021-12-01,2021,12,3,Karimnagar,185,561,9085830
2022-01-01,2022,1,3,Karimnagar,226,961,28198187
2022-02-01,2022,2,3,Karimnagar,225,977,2936509
2022-03-01,2022,3,3,Karimnagar,229,1733,92248011
2022-04-01,2022,4,3,Karimnagar,120,1424,25076497
2022-05-01,2022,5,3,Karimnagar,218,392,69072489
2022-06-01,2022,6,3,Karimnagar,59,1404,99890973
2022-07-01,2022,7,3,Karimnagar,150,1096,26317540
2022-08-01,2022,8,3,Karimnagar,79,1378,64192055
2022-09-01,2022,9,3,Karimnagar,71,1967,85388270
2022-10-01,2022,10,3,Karimnagar,152,1212,66389468
2022-11-01,2022,11,3,Karimnagar,270,402,38203755
2022-12-01,2022,12,3,Karimnagar,267,229,36660887
2023-01-01,2023,1,3,Karimnagar,276,762,86287511
2023-02-01,2023,2,3,Karimnagar,275,1193,41235728
2023-03-01,2023,3,3,Karimnagar,84,1379,93566497
2023-04-01,2023,4,3,Karimnagar,268,1724,28130605
2023-05-01,2023,5,3,Karimnagar,258,1169,28811429
2023-06-01,2023,6,3,Karimnagar,166,1175,40898619
2023-07-01,2023,7,3,Karimnagar,211,1953,72856969
2023-08-01,2023,8,3,Karimnagar,225,1376,70083609
2023-09-01,2023,9,3,Karimnagar,181,1757,43304476
2023-10-01,2023,10,3,Karimnagar,244,133,28750725
2023-11-01,2023,11,3,Karimnagar,135,881,83818485
2023-12-01,2023,12,3,Karimnagar,191,232,30195759
2019-01-01,2019,1,4,Nizamabad,126,1700,54128897
2019-02-01,2019,2,4,Nizamabad,158,1144,85667542
2019-03-01,2019,3,4,Nizamabad,241,1747,26764648
2019-04-01,2019,4,4,Nizamabad,65,1849,90343712
2019-05-01,2019,5,4,Nizamabad,298,1391,10470295
2019-06-01,2019,6,4,Nizamabad,174,1411,55174556
2019-07-01,2019,7,4,Nizamabad,242,1183,5998591
2019-08-01,2019,8,4,Nizamabad,245,1947,77584792
2019-09-01,2019,9,4,Nizamabad,55,1020,66536066
2019-10-01,2019,10,4,Nizamabad,189,1603,78929217
2019-11-01,2019,11,4,Nizamabad,208,541,22914079
2019-12-01,2019,12,4,Nizamabad,117,907,86665904
2020-01-01,2020,1,4,Nizamabad,286,1465,35885694
2020-02-01,2020,2,4,Nizamabad,103,703,77154201
2020-03-01,2020,3,4,Nizamabad,63,1650,47469247
2020-04-01,2020,4,4,Nizamabad,162,1099,23640258
2020-05-01,2020,5,4,Nizamabad,275,1630,78502398
2020-06-01,2020,6,4,Nizamabad,275,1965,16131820
2020-07-01,2020,7,4,Nizamabad,260,1256,61614471
2020-08-01,2020,8,4,Nizamabad,255,1847,3701691
2020-09-01,2020,9,4,Nizamabad,124,963,47963698
2020-10-01,2020,10,4,Nizamabad,128,338,40594825
2020-11-01,2020,11,4,Nizamabad,69,794,36571212
2020-12-01,2020,12,4,Nizamabad,113,725,68399233
2021-01-01,2021,1,4,Nizamabad,223,186,29582059
2021-02-01,2021,2,4,Nizamabad,188,1163,62403912
2021-03-01,2021,3,4,Nizamabad,213,1282,97519603
2021-04-01,2021,4,4,Nizamabad,79,533,37185043
2021-05-01,2021,5,4,Nizamabad,245,1553,73684677
2021-06-01,2021,6,4,Nizamabad,110,303,86785462
2021-07-01,2021,7,4,Nizamabad,92,1315,51371520
2021-08-01,2021,8,4,Nizamabad,225,1365,25673564
2021-09-01,2021,9,4,Nizamabad,164,872,8847857
2021-10-01,2021,10,4,Nizamabad,285,256,95055009
2021-11-01,2021,11,4,Nizamabad,249,956,31715494
2021-12-01,2021,12,4,Nizamabad,220,1256,45316950
2022-01-01,2022,1,4,Nizamabad,161,1541,44516529
2022-02-01,2022,2,4,Nizamabad,143,525,90694364
2022-03-01,2022,3,4,Nizamabad,63,1691,48846767
2022-04-01,2022,4,4,Nizamabad,71,696,12691930
2022-05-01,2022,5,4,Nizamabad,293,1057,96193822
2022-06-01,2022,6,4,Nizamabad,128,674,44844676
2022-07-01,2022,7,4,Nizamabad,256,991,19518313
2022-08-01,2022,8,4,Nizamabad,227,1258,61429355
2022-09-01,2022,9,4,Nizamabad,238,841,51274303
2022-10-01,2022,10,4,Nizamabad,114,1841,51007856
2022-11-01,2022,11,4,Nizamabad,101,1364,54317447
2022-12-01,2022,12,4,Nizamabad,191,1339,35610574
2023-01-01,2023,1,4,Nizamabad,297,1808,2458908
2023-02-01,2023,2,4,Nizamabad,139,413,87191288
2023-03-01,2023,3,4,Nizamabad,157,258,33390418
2023-04-01,2023,4,4,Nizamabad,246,1415,7884613
2023-05-01,2023,5,4,Nizamabad,112,985,5814886
2023-06-01,2023,6,4,Nizamabad,126,1065,77848912
2023-07-01,2023,7,4,Nizamabad,132,1457,19462556
2023-08-01,2023,8,4,Nizamabad,269,1832,37947746
2023-09-01,2023,9,4,Nizamabad,281,571,94036331
2023-10-01,2023,10,4,Nizamabad,218,832,8479935
