date,fiscal_year,month,dist_code,district,documents_registered,revenue,estamp_challans
2019-01-01,2019,1,1,Hyderabad,12144,6171054,12368
2019-02-01,2019,2,1,Hyderabad,39709,1693146,20493
2019-03-01,2019,3,1,Hyderabad,20926,2845123,19332
2019-04-01,2019,4,1,Hyderabad,41680,1794068,20027
2019-05-01,2019,5,1,Hyderabad,34098,6321619,21342
2019-06-01,2019,6,1,Hyderabad,31219,5730059,16799
2019-07-01,2019,7,1,Hyderabad,19384,6275839,20152
2019-08-01,2019,8,1,Hyderabad,19909,4475933,12399
2019-09-01,2019,9,1,Hyderabad,40144,7994959,19332
2019-10-01,2019,10,1,Hyderabad,34658,2481916,12742
2019-11-01,2019,11,1,Hyderabad,41778,6767162,24870
2019-12-01,2019,12,1,Hyderabad,29151,8838495,11024
2020-01-01,2020,1,1,Hyderabad,31718,3454272,7501
2020-02-01,2020,2,1,Hyderabad,49050,4951078,12013
2020-03-01,2020,3,1,Hyderabad,34507,9494514,19707
2020-04-01,2020,4,1,Hyderabad,29116,7318511,13876
2020-05-01,2020,5,1,Hyderabad,49483,4483932,17080
2020-06-01,2020,6,1,Hyderabad,13458,3206994,21040
2020-07-01,2020,7,1,Hyderabad,24679,8581425,19180
2020-08-01,2020,8,1,Hyderabad,18834,4291720,7269
2020-09-01,2020,9,1,Hyderabad,30185,8226926,9365
2020-10-01,2020,10,1,Hyderabad,23263,6739280,24652
2020-11-01,2020,11,1,Hyderabad,47166,9482206,17318
2020-12-01,2020,12,1,Hyderabad,25710,6724516,22556
2021-01-01,2021,1,1,Hyderabad,43988,3376728,19684
2021-02-01,2021,2,1,Hyderabad,24893,9910959,14240
2021-03-01,2021,3,1,Hyderabad,48299,5854398,15440
2021-04-01,2021,4,1,Hyderabad,32362,7353270,14568
2021-05-01,2021,5,1,Hyderabad,43660,2605508,20738
2021-06-01,2021,6,1,Hyderabad,13471,4240769,14059
2021-07-01,2021,7,1,Hyderabad,16421,6002926,19956
2021-08-01,2021,8,1,Hyderabad,43546,2767053,14232
2021-09-01,2021,9,1,Hyderabad,14684,4592241,21731
2021-10-01,2021,10,1,Hyderabad,25256,4554940,15556
2021-11-01,2021,11,1,Hyderabad,15715,2691615,11224
2021-12-01,2021,12,1,Hyderabad,26514,4157539,20765
2022-01-01,2022,1,1,Hyderabad,12387,5600223,18135
2022-02-01,2022,2,1,Hyderabad,47336,9880084,9873
2022-03-01,2022,3,1,Hyderabad,25279,8776538,24409
2022-04-01,2022,4,1,Hyderabad,19072,5768102,15455
2022-05-01,2022,5,1,Hyderabad,23046,4431832,10225
2022-06-01,2022,6,1,Hyderabad,11008,1540018,6860
2022-07-01,2022,7,1,Hyderabad,46269,9878005,8774
2022-08-01,2022,8,1,Hyderabad,37159,8301444,19813
2022-09-01,2022,9,1,Hyderabad,31019,1741323,11982
2022-10-01,2022,10,1,Hyderabad,16970,4380888,11165
2022-11-01,2022,11,1,Hyderabad,32357,1180275,5327
2022-12-01,2022,12,1,Hyderabad,37796,2421261,10394
2023-01-01,2023,1,1,Hyderabad,14107,4160589,11812
2023-02-01,2023,2,1,Hyderabad,20353,3707123,21389
2023-03-01,2023,3,1,Hyderabad,48710,7338241,19028
2023-04-01,2023,4,1,Hyderabad,21212,1415375,14508
2023-05-01,2023,5,1,Hyderabad,31557,4796765,19575
2023-06-01,2023,6,1,Hyderabad,31971,6654561,7419
2023-07-01,2023,7,1,Hyderabad,21734,8643093,22177
2023-08-01,2023,8,1,Hyderabad,38220,4003335,12259
2023-09-01,2023,9,1,Hyderabad,29983,5688681,21517
2023-10-01,2023,10,1,Hyderabad,37796,2996217,24882
2023-11-01,2023,11,1,Hyderabad,35235,4022545,6792
2023-12-01,2023,12,1,Hyderabad,49888,2563646,24781
2019-01-01,2019,1,2,Warangal,21372,2155946,18121
2019-02-01,2019,2,2,Warangal,21699,2743986,13727
2019-03-01,2019,3,2,Warangal,45847,5728650,14706
2019-04-01,2019,4,2,Warangal,23096,8341522,16302
2019-05-01,2019,5,2,Warangal,46589,9011808,6811
2019-06-01,2019,6,2,Warangal,19969,1260773,10527
2019-07-01,2019,7,2,Warangal,31541,6372571,24178
2019-08-01,2019,8,2,Warangal,17681,3043406,10337
2019-09-01,2019,9,2,Warangal,44917,3232317,24760
2019-10-01,2019,10,2,Warangal,37270,1175165,24681
2019-11-01,2019,11,2,Warangal,24824,2820088,8459
2019-12-01,2019,12,2,Warangal,24966,1566779,9425
2020-01-01,2020,1,2,Warangal,37351,1389284,6264
2020-02-01,2020,2,2,Warangal,25671,7240958,12525
2020-03-01,2020,3,2,Warangal,41113,3089165,11250
2020-04-01,2020,4,2,Warangal,28769,5685713,5654
2020-05-01,2020,5,2,Warangal,26593,9244632,12876
2020-06-01,2020,6,2,Warangal,29667,8610478,20453
2020-07-01,2020,7,2,Warangal,42565,2207694,10853
2020-08-01,2020,8,2,Warangal,10168,6413690,21622
2020-09-01,2020,9,2,Warangal,35411,9320034,11844
2020-10-01,2020,10,2,Warangal,26185,3864820,12620
2020-11-01,2020,11,2,Warangal,21744,1958407,11990
2020-12-01,2020,12,2,Warangal,14258,5479569,6354
2021-01-01,2021,1,2,Warangal,40357,7948437,21265
2021-02-01,2021,2,2,Warangal,33671,1529071,16162
2021-03-01,2021,3,2,Warangal,33181,3896043,9248
2021-04-01,2021,4,2,Warangal,25251,4999630,24016
2021-05-01,2021,5,2,Warangal,30257,4948611,20672
2021-06-01,2021,6,2,Warangal,21453,9925420,5467
2021-07-01,2021,7,2,Warangal,39931,7766328,24888
2021-08-01,2021,8,2,Warangal,11369,3544674,22282
2021-09-01,2021,9,2,Warangal,42647,6553710,9556
2021-10-01,2021,10,2,Warangal,41338,3356246,15186
2021-11-01,2021,11,2,Warangal,13214,3366937,12112
2021-12-01,2021,12,2,Warangal,22694,4360235,24279
2022-01-01,2022,1,2,Warangal,11673,9386095,7551
2022-02-01,2022,2,2,Warangal,15029,1920628,14877
2022-03-01,2022,3,2,Warangal,38149,9222243,23810
2022-04-01,2022,4,2,Warangal,37530,9701768,24725
2022-05-01,2022,5,2,Warangal,41956,9514009,14974
2022-06-01,2022,6,2,Warangal,43570,9862366,24711
2022-07-01,2022,7,2,Warangal,20317,1233040,14388
2022-08-01,2022,8,2,Warangal,44251,6751381,16414
2022-09-01,2022,9,2,Warangal,44089,2481090,7511
2022-10-01,2022,10,2,Warangal,12826,8109938,18487
2022-11-01,2022,11,2,Warangal,48098,5356062,21242
2022-12-01,2022,12,2,Warangal,31094,9638986,20363
2023-01-01,2023,1,2,Warangal,40549,3533872,15727
2023-02-01,2023,2,2,Warangal,26433,4323080,22082
2023-03-01,2023,3,2,Warangal,44164,3762725,23021
2023-04-01,2023,4,2,Warangal,34517,7156989,7788
2023-05-01,2023,5,2,Warangal,43803,3810355,16253
2023-06-01,2023,6,2,Warangal,20553,2889657,13799
2023-07-01,2023,7,2,Warangal,31975,5999620,21831
2023-08-01,2023,8,2,Warangal,45081,4631816,23653
2023-09-01,2023,9,2,Warangal,46415,3545564,12186
2023-10-01,2023,10,2,Warangal,33509,2630428,20465
2023-11-01,2023,11,2,Warangal,32356,4999777,14524
2023-12-01,2023,12,2,Warangal,34084,2067313,10177
2019-01-01,2019,1,3,Karimnagar,46960,9567082,24881
2019-02-01,2019,2,3,Karimnagar,31397,7167375,19354
2019-03-01,2019,3,3,Karimnagar,41049,6552009,16860
2019-04-01,2019,4,3,Karimnagar,28949,5481445,16103
2019-05-01,2019,5,3,Karimnagar,25317,8624014,20128
2019-06-01,2019,6,3,Karimnagar,40828,7914106,22321
2019-07-01,2019,7,3,Karimnagar,23207,1320101,16141
2019-08-01,2019,8,3,Karimnagar,13013,9673583,18981
2019-09-01,2019,9,3,Karimnagar,29912,7966482,10138
2019-10-01,2019,10,3,Karimnagar,35198,6813337,9166
2019-11-01,2019,11,3,Karimnagar,48173,8279576,7610
2019-12-01,2019,12,3,Karimnagar,38353,3415500,21747
2020-01-01,2020,1,3,Karimnagar,25170,7437051,20684
2020-02-01,2020,2,3,Karimnagar,19133,8329377,10764
2020-03-01,2020,3,3,Karimnagar,23124,3709096,17440
2020-04-01,2020,4,3,Karimnagar,17115,8700758,18409
2020-05-01,2020,5,3,Karimnagar,40243,7535062,14888
2020-06-01,2020,6,3,Karimnagar,45304,3141068,13555
2020-07-01,2020,7,3,Karimnagar,23481,5877205,9481
2020-08-01,2020,8,3,Karimnagar,42238,3973574,14910
2020-09-01,2020,9,3,Karimnagar,43981,9902679,7024
2020-10-01,2020,10,3,Karimnagar,44959,8896843,17136
2020-11-01,2020,11,3,Karimnagar,28896,1867804,14974
2020-12-01,2020,12,3,Karimnagar,36565,6095779,10201
2021-01-01,2021,1,3,Karimnagar,24074,9340223,6435
2021-02-01,2021,2,3,Karimnagar,43010,8358311,8822
