date,fiscal_year,month,dist_code,district,vehicle_sales,registrations,permits
2019-01-01,2019,1,1,Hyderabad,7357,3061,2629
2019-02-01,2019,2,1,Hyderabad,7946,2041,2764
2019-03-01,2019,3,1,Hyderabad,13307,1853,1819
2019-04-01,2019,4,1,Hyderabad,9948,2206,541
2019-05-01,2019,5,1,Hyderabad,6348,2131,2859
2019-06-01,2019,6,1,Hyderabad,8885,1313,1342
2019-07-01,2019,7,1,Hyderabad,5642,2358,593
2019-08-01,2019,8,1,Hyderabad,5348,1774,2681
2019-09-01,2019,9,1,Hyderabad,6697,2809,1187
2019-10-01,2019,10,1,Hyderabad,6747,3140,1589
2019-11-01,2019,11,1,Hyderabad,12573,2820,1320
2019-12-01,2019,12,1,Hyderabad,14597,1447,1045
2020-01-01,2020,1,1,Hyderabad,10802,2799,997
2020-02-01,2020,2,1,Hyderabad,7044,2080,1472
2020-03-01,2020,3,1,Hyderabad,7047,3005,1571
2020-04-01,2020,4,1,Hyderabad,12307,2747,2607
2020-05-01,2020,5,1,Hyderabad,5130,3915,1812
2020-06-01,2020,6,1,Hyderabad,5170,2880,2885
2020-07-01,2020,7,1,Hyderabad,12453,1287,2393
2020-08-01,2020,8,1,Hyderabad,10295,3775,2349
2020-09-01,2020,9,1,Hyderabad,11301,2733,571
2020-10-01,2020,10,1,Hyderabad,6460,3251,2440
2020-11-01,2020,11,1,Hyderabad,8890,4772,1704
2020-12-01,2020,12,1,Hyderabad,14335,2846,2234
2021-01-01,2021,1,1,Hyderabad,14630,1316,2357
2021-02-01,2021,2,1,Hyderabad,10990,2311,1303
2021-03-01,2021,3,1,Hyderabad,5499,4244,1370
2021-04-01,2021,4,1,Hyderabad,9183,4334,1697
2021-05-01,2021,5,1,Hyderabad,13937,1553,1130
2021-06-01,2021,6,1,Hyderabad,6085,3329,532
2021-07-01,2021,7,1,Hyderabad,11848,3156,800
2021-08-01,2021,8,1,Hyderabad,13473,3813,2489
2021-09-01,2021,9,1,Hyderabad,6339,2757,1974
2021-10-01,2021,10,1,Hyderabad,7715,4317,1622
2021-11-01,2021,11,1,Hyderabad,8123,1667,2577
2021-12-01,2021,12,1,Hyderabad,8128,1182,769
2022-01-01,2022,1,1,Hyderabad,12335,1415,977
2022-02-01,2022,2,1,Hyderabad,9179,3983,2621
2022-03-01,2022,3,1,Hyderabad,14549,2050,817
2022-04-01,2022,4,1,Hyderabad,6522,3641,2570
2022-05-01,2022,5,1,Hyderabad,11245,3977,2942
2022-06-01,2022,6,1,Hyderabad,14302,2075,2843
2022-07-01,2022,7,1,Hyderabad,11075,2038,2078
